RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,71,68,4,33,10,0,0,100,125,7,7,10,4,50,0,0,0,58,71.0,5,4,0.0,100
Good,73,85,6,40,17,1,0,94,11,5,5,18,2,28,10,0,0,10,,3,2,0.0,36
Bad,64,51,6,22,15,0,0,100,125,7,7,24,3,25,0,0,0,61,84.0,10,3,1.0,100
Good,81,398,2,112,17,0,0,100,125,7,7,18,2,33,0,0,0,47,60.0,5,2,1.0,64
Good,66,209,19,89,29,0,0,83,6,6,6,30,0,50,3,1,1,43,74.0,8,8,1.0,94
Good,69,189,7,84,34,2,1,94,0,2,2,36,1,8,0,1,1,11,,3,2,2.0,29
Good,81,253,13,114,15,0,0,87,9,6,6,15,0,0,0,1,1,8,,1,2,0.0,17
Good,89,151,20,87,14,0,0,100,125,7,7,14,0,50,0,0,0,9,,1,2,0.0,60
Good,67,114,5,52,13,1,0,67,30,7,5,15,2,13,5,0,0,69,33.0,4,2,2.0,86
Bad,71,170,9,88,43,2,2,93,6,6,2,46,2,17,0,1,1,33,100.0,8,4,1.0,60
Good,79,177,4,89,21,0,0,100,125,7,7,21,1,29,36,0,0,67,,2,1,0.0,75
Good,77,194,17,75,18,1,1,95,29,7,2,19,0,53,0,2,2,4,47.0,1,2,0.0,60
Good,69,323,5,95,25,2,2,93,1,2,2,27,1,26,16,0,0,0,,2,1,0.0,36
Good,60,249,2,81,27,0,0,96,1,6,6,71,3,36,36,3,3,59,21.0,3,5,2.0,53
Bad,84,131,4,57,9,0,0,100,125,7,7,10,1,56,10,0,0,11,76.0,2,3,0.0,83
Bad,73,160,11,79,10,1,1,91,16,7,4,11,1,55,36,1,1,16,,1,1,1.0,67
Good,91,175,6,127,16,0,0,100,125,7,7,16,1,28,0,0,0,3,,2,2,0.0,29
Bad,83,129,5,48,4,0,0,100,125,7,7,4,2,50,36,1,1,30,,1,1,0.0,100
Bad,68,180,8,45,28,0,0,93,24,7,6,32,3,13,4,1,1,26,83.0,8,2,2.0,63
Good,79,305,1,108,25,0,0,93,39,7,6,29,2,31,0,2,2,22,82.0,2,4,0.0,70
Bad,67,269,10,65,22,0,0,79,3,6,6,24,1,33,36,0,0,21,70.0,4,3,0.0,58
Good,81,58,34,49,5,0,0,100,125,7,7,5,0,80,0,0,0,14,60.0,1,2,0.5,100
Good,78,220,2,76,52,0,0,98,35,7,6,56,2,33,2,2,2,13,,5,4,0.0,69
Bad,63,170,11,75,14,1,1,87,8,4,4,15,1,13,0,2,2,56,,5,2,2.0,70
Bad,65,146,7,58,29,1,1,97,63,7,6,33,1,39,36,5,5,7,88.0,1,2,0.0,33
Bad,65,174,9,71,22,0,0,74,4,6,6,45,1,39,12,0,0,28,99.0,7,6,1.0,76
Bad,60,155,15,53,16,1,1,81,5,6,6,16,0,44,5,0,0,79,,5,1,2.0,86
Bad,56,68,4,25,22,0,0,91,31,7,6,22,8,27,0,2,2,81,91.0,9,3,3.0,71
Bad,67,427,17,105,35,0,0,94,4,6,6,37,0,51,17,0,0,45,47.0,5,6,2.0,85
Bad,57,180,6,91,10,1,0,47,2,6,5,16,1,31,36,0,0,91,29.0,4,1,2.0,86
Good,87,216,8,87,16,0,0,100,125,7,7,16,1,19,2,1,1,2,,1,2,0.0,25
Good,82,153,5,46,4,0,0,100,125,7,7,4,2,50,0,0,0,16,,1,1,0.0,100
Good,81,204,7,64,13,0,0,93,59,7,6,14,3,14,5,0,0,11,,2,1,0.0,67
Good,62,21,12,17,4,0,0,100,125,7,7,4,0,50,0,4,3,120,83.0,1,2,1.0,75
Bad,70,88,7,42,14,1,1,93,25,7,2,16,2,67,36,2,2,38,63.0,2,5,0.5,88
Good,68,184,2,69,7,0,0,58,1,6,6,12,2,67,6,0,0,4,57.0,2,5,0.0,78
Bad,73,215,7,88,38,1,1,92,23,7,6,40,1,38,19,0,0,1,78.0,4,2,1.0,50
Bad,73,28,4,18,4,0,0,100,125,7,7,4,1,50,0,5,5,41,81.0,2,2,0.0,100
Bad,56,136,3,8,11,0,0,100,125,7,7,29,9,18,0,13,13,27,90.0,5,2,0.0,64
Good,91,325,34,117,13,0,0,100,125,7,7,13,0,8,24,0,0,3,,2,2,0.0,25
Bad,68,161,8,50,4,0,0,100,125,7,7,4,1,0,0,0,0,87,,4,2,3.0,100
Bad,61,281,9,107,22,2,0,79,2,6,5,24,4,42,6,0,0,86,91.0,3,3,2.0,78
Good,88,292,14,105,20,0,0,100,125,7,7,20,0,50,0,2,2,11,83.0,2,2,0.0,50
Bad,66,81,4,35,10,0,0,100,125,7,7,10,3,60,0,1,1,79,94.0,4,2,2.0,100
Bad,62,192,5,38,22,0,0,100,125,7,7,22,2,9,0,3,3,65,,15,2,7.0,79
Good,81,158,4,87,34,0,0,100,125,7,7,36,6,31,36,5,5,19,93.0,7,3,0.0,63
Good,77,287,3,109,10,2,2,83,32,7,3,12,3,17,0,2,2,33,,2,1,1.0,43
Bad,58,315,10,78,10,0,0,64,3,6,6,15,1,64,2,3,3,78,77.0,2,2,1.0,100
