fips,median_household_income_2017,density_2010
1001,55317,91.8
1003,52562,114.6
1005,33368,31
1007,43404,36.8
1009,47412,88.9
1011,29655,17.5
1013,36326,27
1015,43686,195.7
1017,37342,57.4
1019,40041,46.9
1021,43501,63
1023,32122,15.2
1025,33827,20.9
1027,37287,23.1
1029,37396,26.7
1031,49821,73.6
1033,45477,91.8
1035,30434,15.6
1037,34792,17.7
1039,39467,36.6
1041,38937,22.8
1043,40997,109.4
1045,44711,89.6
1047,30065,44.8
1049,38842,91.5
1051,54981,128.2
1053,35026,40.5
1055,42064,195.2
1057,36541,27.5
1059,39501,50
1061,39293,46.6
1063,20954,14
1065,34679,24.5
1067,45569,30.8
1069,42803,175.1
1071,39281,49.4
1073,49321,592.5
1075,36016,24.1
1077,44888,138.8
1079,43779,49.7
1081,47564,230.8
1083,52831,147.8
1085,29785,15.8
1087,32308,35.2
1089,61318,417.7
1091,32255,21.5
1093,35719,41.5
1095,41104,164.4
1097,45802,335.9
1099,26036,22.5
1101,46545,292.5
1103,47529,206.3
1105,22973,14.7
1107,36220,22.4
1109,35684,48.9
1111,39485,39.5
1113,38988,82.6
1115,53483,132.3
1117,74063,248.5
1119,21663,15.2
1121,39219,111.7
1123,42181,58.1
1125,50513,147.3
1127,38872,84.7
1129,42185,16.3
1131,27012,13.1
1133,35362,39.9
2013,66607,0.4
2016,85192,1.3
2020,82271,171.2
2050,53853,0.4
2060,79500,2
2068,83295,0.1
2070,58708,0.3
2090,76250,13.3
2100,70640,1.1
2105,57900,0.3
2110,90749,11.6
2122,65279,3.4
2130,67321,2.8
2150,74167,2.1
2158,NA,0.4
2164,45208,0.1
2170,74887,3.6
2180,53821,0.4
2185,77266,0.1
2188,61533,0.2
2195,63490,1.2
2198,52114,1.4
2220,70765,3.1
2230,70673,2.1
2240,63866,0.3
2261,86019,0.3
2275,56094,0.9
2282,64583,0.1
2290,37819,0
4001,32360,6.4
4003,47847,21.3
4005,53523,7.2
4007,41179,11.3
4009,48173,8.1
4011,56298,4.6
4012,36479,4.6
4013,58580,414.9
4015,41567,15
4017,38798,10.8
4019,48676,106.7
4021,52628,70
4023,39630,38.3
4025,48259,26
4027,43253,35.5
5001,38532,19.2
5003,36407,23.6
5005,40072,74.9
5007,61271,261.2
5009,40727,62.5
5011,36310,17.7
5013,37225,8.5
5015,39686,43.6
5017,32412,18.3
5019,37144,26.6
5021,32219,25.2
5023,42312,46.9
5025,44840,14.5
5027,37072,32.1
5029,39638,38.5
5031,45672,136.4
5033,43504,104.4
5035,38558,83.5
5037,41081,29
5039,35794,12.2
5041,27036,16.9
5043,36092,22.3
5045,50316,174.8
5047,39472,29.8
5049,36051,19.8
5051,41672,141.7
5053,49968,28.3
5055,45566,72.9
5057,38701,31.1
5059,40626,53.5
5061,34851,23.4
5063,39945,48
5065,39135,23.6
5067,32783,28.4
5069,37630,88.9
5071,35758,38.7
5073,32500,14.5
5075,37603,29.6
5077,27901,17.3
5079,38873,25.2
5081,36963,24.7
5083,37982,31.6
5085,57290,88.7
5087,42894,18.8
5089,36113,27.9
5091,41862,69.5
5093,36417,51.6
5095,31584,13.4
5097,35252,12.2
5099,36995,14.6
5101,38134,10.1
5103,32136,35.6
5105,46168,18.9
5107,26652,31.3
5109,36893,18.8
5111,37487,32.4
5113,33870,24.1
5115,40668,76
5117,41244,13.4
5119,48850,503.8
5121,35930,27.6
5123,33102,44.5
5125,58985,148
5127,37396,12.6
5129,36716,12.3
5131,40932,236.4
5133,43675,30.2
5135,31792,28.6
5137,33091,20.4
5139,41106,40.1
5141,34428,24.4
5143,47452,215.6
5145,44074,74.5
5147,30097,12.4
5149,39696,23.9
6001,85743,2043.6
6003,63438,1.6
6005,60636,64.1
6007,46516,134.4
6009,54800,44.7
6011,56481,18.6
6013,88456,1465.2
6015,41287,28.4
6017,74885,106
6019,48730,156.2
6021,46260,21.4
6023,43718,37.7
