state,party
AL,Republican
AK,Independent
AS,Democrat
AZ,Republican
AR,Democrat
CA,Democrat
CO,Democrat
CT,Democrat
DC,Democrat
DE,Democrat
FL,Republican
GA,Republican
GU,Republican
HI,Democrat
ID,Republican
IL,Republican
IN,Republican
IA,Republican
KS,Republican
KY,Republican
LA,Republican
ME,Republican
MD,Democrat
MA,Democrat
MI,Republican
MN,Democrat
MS,Republican
MO,Republican
MT,Democrat
NE,Republican
NV,Republican
NH,Democrat
NJ,Republican
NM,Republican
NY,Democrat
NC,Republican
ND,Republican
OH,Republican
OK,Republican
OR,Democrat
PA,Republican
PR,New Progressive Party
RI,Democrat
SC,Republican
SD,Republican
TN,Republican
TX,Republican
UT,Republican
VT,Democrat
VI,Independent
VA,Democrat
WA,Democrat
WV,Democrat
WI,Republican
WY,Republican
